game_id,total_moves,analysis_timestamp,average_depth,total_nodes,total_time,blunders,mistakes,inaccuracies,best_moves,good_moves,suboptimal_moves,average_centipawn_loss,opening_accuracy,opening_blunders,opening_avg_complexity,middlegame_accuracy,middlegame_blunders,middlegame_avg_complexity,endgame_accuracy,endgame_blunders,endgame_avg_complexity,critical_moments,average_position_complexity,max_position_complexity,evaluation_volatility,original_game_id,original_result,original_player_one,original_player_two,original_player_one_time,original_player_two_time,original_player_one_score,original_player_two_score,original_player_one_illegal_moves,original_player_two_illegal_moves,original_player_one_legal_moves,original_player_two_legal_moves,original_player_one_resignation,original_player_two_resignation,original_player_one_failed_to_find_legal_move,original_player_two_failed_to_find_legal_move,original_game_title,original_number_of_moves,original_time_taken,original_total_moves,original_illegal_moves,original_player_one_illegal_moves_details,original_player_two_illegal_moves_details,original_source_file
1749432222-7531,180,2025-06-26T13:49:29.535688,16.694444444444443,27019698,14.715000000000002,54,5,10,78,5,97,2192.8611111111113,93.43333333333334,0,33.41795760720883,91.6046511627907,1,42.23055834393241,65.00934579439253,53,45.52089455384104,142,42.71771363481305,73.00000000000001,4226.360747994823,1749432222-7531,*,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,0.5,0.5,2,0,89,90,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,91,7.120562553405762,90,0,"[{'move_number': 55, 'attempted_move': 'Ke3', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Ke3' in 8/1p6/p1b2k2/6p1/1P1K4/P1P2P2/6nP/8 w - - 0 55"", 'attempt': 1}, {'move_number': 55, 'attempted_move': 'Ke3', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Ke3' in 8/1p6/p1b2k2/6p1/1P1K4/P1P2P2/6nP/8 w - - 0 55"", 'attempt': 2}]",[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432222-1397,99,2025-06-26T13:49:38.328880,40.16161616161616,13983720,8.302000000000003,4,4,7,36,8,55,117.46464646464646,95.53846153846153,0,33.3599987345353,87.24561403508773,4,48.62460852514105,99.9375,0,49.58699489742783,84,44.7712582968667,71.52429882554645,4524.706857771046,1749432222-1397,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,50,50,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,50,3.877877712249756,50,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432225-1233,55,2025-06-26T13:49:44.073630,17.30909090909091,8149142,5.504000000000001,2,6,8,23,2,30,57.67272727272727,93.04,0,32.616097142107066,59.233333333333334,2,40.45733409099016,0.0,0,0.0,11,36.893135477861485,67.0,2327.7256153089197,1749432225-1233,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,28,28,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,28,2.410367012023926,28,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432227-3091,63,2025-06-26T13:49:50.118341,26.22222222222222,9161682,5.76,3,1,3,20,6,37,406.93650793650795,93.0,0,35.05105122898394,88.36666666666666,3,61.751739671642746,0.0,0,0.0,51,47.76566477310717,88.00000000000001,4001.7968141824117,1749432227-3091,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,32,32,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,32,2.4917197227478027,32,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432229-4707,180,2025-06-26T13:50:08.217395,16.455555555555556,27016342,15.700000000000003,86,4,9,69,5,106,2224.277777777778,94.17857142857143,1,37.635325479592616,56.76923076923077,34,43.00425871855821,64.51724137931035,51,48.78926605295345,169,44.965178204121266,82.0,4125.327288564845,1749432229-4707,*,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,0.5,0.5,0,0,90,90,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,91,7.189892768859863,90,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432232-8765,117,2025-06-26T13:50:17.699000,27.025641025641026,17141267,9.132000000000001,3,2,2,47,5,65,63.504273504273506,96.61538461538461,0,34.401043117981445,92.625,0,39.89577415649093,94.77083333333333,3,58.228862875475365,105,46.80651565230827,85.00000000000001,5284.273152929038,1749432232-8765,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,59,59,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,59,4.490041017532349,59,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432233-1026,30,2025-06-26T13:50:20.992916,14.133333333333333,4503574,3.0910000000000006,0,3,4,9,3,18,26.766666666666666,88.0952380952381,0,36.022015217780655,73.22222222222223,0,45.3364265361395,0.0,0,0.0,23,38.816338613288295,65.73789241841936,456.88065059585193,1749432233-1026,0-1,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,0,1,5,0,15,16,False,False,True,False,adam_lichess_16layers.pt vs. Stockfish 0,16,1.5487666130065918,16,0,"[{'move_number': 16, 'attempted_move': 'Bxc5', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Bxc5' in r2k3r/pp1Bpp1p/6pb/2n1P3/8/2N1B3/PP3PPP/2KR2NR w - - 1 16"", 'attempt': 1}, {'move_number': 16, 'attempted_move': 'Bxc5', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Bxc5' in r2k3r/pp1Bpp1p/6pb/2n1P3/8/2N1B3/PP3PPP/2KR2NR w - - 1 16"", 'attempt': 2}, {'move_number': 16, 'attempted_move': 'Bxc5', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Bxc5' in r2k3r/pp1Bpp1p/6pb/2n1P3/8/2N1B3/PP3PPP/2KR2NR w - - 1 16"", 'attempt': 3}, {'move_number': 16, 'attempted_move': 'Bxc5', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Bxc5' in r2k3r/pp1Bpp1p/6pb/2n1P3/8/2N1B3/PP3PPP/2KR2NR w - - 1 16"", 'attempt': 4}, {'move_number': 16, 'attempted_move': 'Bxc5', 'error_type': 'parse_error', 'error_message': ""illegal san: 'Bxc5' in r2k3r/pp1Bpp1p/6pb/2n1P3/8/2N1B3/PP3PPP/2KR2NR w - - 1 16"", 'attempt': 5}]",[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432234-9905,123,2025-06-26T13:50:32.188358,25.536585365853657,17929244,10.83,7,7,8,56,5,62,45.048780487804876,97.5,0,37.236303496850574,85.05,4,41.12510899378871,88.64179104477611,3,45.00613619520913,94,42.73330358357861,82.0,4087.0384249055905,1749432234-9905,1-0,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1,0,0,0,62,62,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,62,5.086777687072754,62,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432237-1620,66,2025-06-26T13:50:39.386369,13.56060606060606,9906310,6.966000000000003,11,7,9,25,2,39,273.54545454545456,91.23529411764706,0,32.369588162155345,69.97727272727273,8,36.0752143203098,40.0,3,36.46617004572974,34,35.15035271331698,70.0,1235.0186989026192,1749432237-1620,0-1,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,0,1,0,0,33,33,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,34,3.11112904548645,33,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
1749432238-3084,123,2025-06-26T13:50:51.068017,16.276422764227643,18461850,11.401000000000002,43,3,3,54,11,58,561.609756097561,92.85714285714286,2,36.826579882915134,67.30952380952381,21,38.91051672654485,79.7910447761194,20,46.49008502336955,112,42.802028597085,79.0,3861.0457925885994,1749432238-3084,1/2-1/2,adam_lichess_16layers.pt,Stockfish 0,,40000 nodes,1/2,1/2,0,0,62,62,False,False,False,False,adam_lichess_16layers.pt vs. Stockfish 0,62,5.269438743591309,62,0,[],[],adam_lichess_16layers_pt_vs_stockfish_sweep.csv
